2026-05-18T17:49:45.980019400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.0 fps_gdx=37 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:47.998124900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=32.7 fps_gdx=31 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:49.981691100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=38.3 fps_gdx=39 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:51.979230600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=34.6 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:53.988607700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.3 fps_gdx=35 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:55.983633500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=31.6 fps_gdx=31 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:58.001419700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=32.7 fps_gdx=33 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:59.975314900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=38.0 fps_gdx=38 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:01.976465500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=37.0 fps_gdx=38 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:03.989570900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=37.3 fps_gdx=37 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:06.034008700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=38.7 fps_gdx=40 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:07.985748700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=37.9 fps_gdx=39 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:09.978159600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=38.1 fps_gdx=39 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:11.975753Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.0 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:50:13.981313900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.9 fps_gdx=35 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
