2026-05-22T02:04:54.500290Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=59.5 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:04:56.502082Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:04:58.502985Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:00.500143Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:02.504118Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:04.500267Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:06.502061Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:08.501903Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:10.500668Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:12.499744Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=59.5 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:14.500171Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:16.501108Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:18.501840Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:20.499805Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:22.502014Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:24.500660Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=61 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:26.501979Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.0 fps_gdx=60 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:28.492646Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=97.4 fps_gdx=112 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
2026-05-22T02:05:30.509016Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=103.1 fps_gdx=105 depth=2 branch=0 mobs_alive=5 mobs_in_fov=0 load=normal
